name,municipality,iata_code,type
Vanimo Airport,Vanimo,VAI,medium_airport
Tonu Airport,Tonu,TON,small_airport
Wabo Airport,Wabo,WAO,small_airport
Wapenamanda Airport,Wapenamanda,WBM,medium_airport
Wawoi Falls Airport,Wavoi Falls,WAJ,small_airport
Wewak International Airport,Wewak,WWK,medium_airport
Wonenara Airport,Wonenara,WOA,small_airport
Wakunai Airport,Wakunai,WKN,small_airport
Wasu Airport,Wasu,WSU,small_airport
Woitape Airport,Fatima Mission,WTP,small_airport
Wau Airport,Wau,WUG,small_airport
Yeva Airport,Yeva,YVD,small_airport
Sim Airport,Sim,SMJ,small_airport
Weam Airport,Weam,WEP,small_airport
Arugam Bay SPB,Pottuvil,AYY,seaplane_base
Yalumet Airport,Yalumet,KYX,small_airport
Yasuru Airport,Yasuru,KSX,small_airport
Wasum Airport,Wasum,WUM,small_airport
Zabrat Airport,Baku,ZXT,medium_airport
Fuzuli International Airport,Fuzuli,FZL,small_airport
Lava Falls Heliport,Supai Village,HAE,heliport
Amazon Bay Airport,,AZB,small_airport
Zhenjiang Dalu Airport,Zhenjiang,AZJ,small_airport
Bali Airport,Unea Island,BAJ,small_airport
Bambu Airport,Bambu,BCP,small_airport
Benguera Island Airport,Benguera Island,BCW,medium_airport
Milyakburra Airport,Bickerton Island,BCZ,small_airport
Willmar Municipal Airport John L Rice Field (2006),Willmar,ILL,small_airport
Baindoung Airport,,BDZ,small_airport
Malevo Airfield,Malevo,HKV,small_airport
Bezmer Air Base,Bezmer,JAM,medium_airport
Aasiaat Airport,Aasiaat,JEG,medium_airport
Aappilattoq Heliport,Aappilattoq,AOQ,heliport
Tasiilaq Heliport,Tasiilaq,AGM,heliport
Aappilattoq Heliport,Aappilattoq,QUV,heliport
Arsuk Heliport,Arsuk,JRK,heliport
Ammassivik Heliport,Ammassivik,QUW,heliport
Attu Heliport,Attu,QGQ,heliport
Narsarsuaq Airport,Narsarsuaq,UAK,medium_airport
Qasigiannguit Heliport,Qasigiannguit,JCH,heliport
Neerlerit Inaat Airport,Neerlerit Inaat,CNP,small_airport
Eqalugaarsuit Heliport,Eqalugaarsuit,QFG,heliport
Kangilinnguit Heliport,Kangilinnguit,JGR,heliport
Nuuk Airport,Nuuk,GOH,medium_airport
Qeqertarsuaq Heliport,Qeqertarsuaq,JGO,heliport
Ikerasak Heliport,Ikerasak,IKE,heliport
Iginniarfik Heliport,Iginniarfik,QFI,heliport
Ikerassaarsuk Heliport,Ikerassaarsuk,QRY,heliport
Ilimanaq Heliport,Ilimanaq,XIQ,heliport
Innarsuit Heliport,Innarsuit,IUI,heliport
Isortoq Heliport,Isortoq,IOQ,heliport
Ikamiut Heliport,Ikamiut,QJI,heliport
Qaqortoq Heliport,Qaqortoq,JJU,heliport
Ilulissat Airport,Ilulissat,JAV,medium_airport
Kangaatsiaq Heliport,Kangaatsiaq,QPW,heliport
Kulusuk Airport,Kulusuk,KUS,medium_airport
Kuummiut Heliport,Kuummiut,KUZ,heliport
Kullorsuaq Heliport,Kullorsuaq,KHQ,heliport
Kangersuatsiaq Heliport,Kangersuatsiaq,KGQ,heliport
Kitsissuarsuit Heliport,Kitsissuarsuit,QJE,heliport
Illorsuit Heliport,Illorsuit,IOT,heliport
Maniitsoq Airport,Maniitsoq,JSU,small_airport
Nanortalik Heliport,Nanortalik,JNN,heliport
Nuugaatsiaq Heliport,Nuugaatsiaq,JUU,heliport
Narsaq Heliport,Narsaq,JNS,heliport
Niaqornat Heliport,Niaqornat,NIQ,heliport
Nuussuaq Heliport,Nuussuaq,NSQ,heliport
Paamiut Airport,Paamiut,JFR,small_airport
Qeqertaq Heliport,Qeqertaq,PQT,heliport
Qaanaaq Airport,Qaanaaq,NAQ,small_airport
Qassimiut Heliport,Qassimiut,QJH,heliport
Ittoqqortoormiit Heliport,Ittoqqortoormiit,OBY,heliport
Kangerlussuaq Airport,Kangerlussuaq,SFJ,medium_airport
Sermiligaaq Heliport,Sermiligaaq,SGG,heliport
Siorapaluk Heliport,Siorapaluk,SRK,heliport
Saarloq Heliport,Saarloq,QOQ,heliport
Sisimiut Airport,Sisimiut,JHS,medium_airport
